model_region,activity,value
AT31,HEIR,28.5917277641573
AT31,CAMF,20.4409838525934
AT31,CAFF,30.7323975187071
AT31,CAMR,13.47069311292
AT31,CAFR,11.6665622186256
AT31,PIGF,0.105305046530804
AT31,SOWS,6.18435534060983
AT31,SHGM,5.92557182389568
AT31,SHGF,2.48344358031856
AT31,HENS,30326.8828874755
AT31,POUF,259.686931432867
AT31,OANI,180195.061594807
AT32,SWHE,4459.31906895117
AT32,DWHE,84483.4947410372
AT32,RYEM,23125.63858368
AT32,BARL,2179.43921837823
AT32,OATS,4273.37263335977
AT32,CORN,13574.204046272
AT32,OCER,385.642531234946
AT32,RAPE,56331.5488229133
AT32,SUNF,104962.081931635
AT32,SOYA,22500.4561485169
AT32,OOIL,26697.8346514813
AT32,NURS,257394.325039367
AT32,FLOW,27917238.0666416
AT32,OCRO,57345.9533594087
AT32,MAIF,610.758881048027
AT32,ROOF,303232.86117894
AT32,OFAR,543.434980825754
AT32,GRAE,2.2636779040656
AT32,GRAI,2.5750668969831
AT32,PULS,159498.187313609
AT32,POTA,18160.2694836901
AT32,TEXT,77724.7095236697
AT32,TOBA,22960682.4817586
AT32,TOMA,50362433.6528579
AT32,OVEG,29582.6050312403
AT32,APPL,169053.998099572
AT32,OFRU,3971520.9588693
AT32,FALL,921510.652870495
AT32,VSET,3828.00308258937
AT32,DCOL,193.373168507144
AT32,DCOH,285.738031450102
AT32,BULL,269.27024013902
AT32,BULH,413.646053190754
AT32,HEIL,143.612732451858
AT32,HEIH,220.719914903742
AT32,SCOW,37.1832632278865
AT32,HEIR,70.0072553655336
AT32,CAMF,95.9085141280768
AT32,CAFF,143.517522443616
AT32,CAMR,38.1953803395111
AT32,CAFR,33.0677410517366
AT32,PIGF,13.3514808194711
AT32,SOWS,1043.35413578504
AT32,SHGM,13.7034804860722
AT32,SHGF,5.74608791850552
AT32,HENS,4820174.31241425
AT32,POUF,6381.98957286482
AT32,OANI,2544165.00640292
AT33,SWHE,7724.56235645394
AT33,DWHE,75783.2377284911
AT33,RYEM,19282.4855151971
AT33,BARL,4274.47212057445
AT33,OATS,46749.8584840961
AT33,CORN,29747.8158192785
AT33,OCER,270.988681846486
AT33,SUNF,102529.194393237
AT33,SOYA,116084.94375595
AT33,OOIL,157968.703874557
AT33,NURS,193007.135747104
AT33,FLOW,28460060.4297058
AT33,OCRO,63197.2848989507
AT33,MAIF,155.874349700842
AT33,ROOF,213164.034354069
AT33,OFAR,377.965443969556
AT33,GRAE,1.52001854433665
AT33,GRAI,1.71439670378109
AT33,PULS,37025.7839667699
AT33,POTA,5186.54617414506
AT33,TEXT,54627.1406777943
AT33,TOBA,16688981.4701755
AT33,TOMA,37404247.108047
AT33,OVEG,22063.8876182118
AT33,APPL,119961.118154549
AT33,OFRU,2943638.66732301
AT33,TWIN,8922825.00291952
AT33,FALL,101234.011066484
AT33,VSET,35342.7121599259
AT33,DCOL,178.30547794479
AT33,DCOH,263.713960513266
AT33,BULL,243.232366762062
AT33,BULH,376.053925703942
AT33,HEIL,141.546769602344
AT33,HEIH,220.662694359961
AT33,SCOW,53.4123845990874
AT33,HEIR,59.5941204108439
AT33,CAMF,79.4691444131688
AT33,CAFF,119.007345559155
AT33,CAMR,27.3588184063826
AT33,CAFR,23.6955519109171
AT33,PIGF,10.0174464871446
AT33,SOWS,474.323578808854
AT33,SHGM,5.35953951810872
AT33,SHGF,2.24533838366697
AT33,HENS,688994.477609158
AT33,POUF,5705.36181597837
AT33,OANI,2508541.92720751
AT34,SWHE,6761.89124778295
AT34,DWHE,152816.850107241
AT34,RYEM,44291.1734684162
AT34,BARL,28876.6803520926
AT34,CORN,47861.2822582552
AT34,OCER,1047.19153869978
AT34,NURS,718842.788732817
AT34,FLOW,29501261.8685313
AT34,OCRO,91631.2783725625
AT34,MAIF,346.632325003235
AT34,ROOF,223146.731411506
AT34,OFAR,1368.5436445348
AT34,GRAE,5.12378054730776
AT34,GRAI,5.78509285298352
AT34,PULS,1845214.81933392
AT34,POTA,35380.3907419494
AT34,TEXT,211390.436315873
AT34,TOBA,63199369.5309999
AT34,TOMA,139710796.209443
AT34,OVEG,82353.231261992
AT34,APPL,455130.807139216
AT34,OFRU,11009015.0099804
AT34,TWIN,7168504.38401782
AT34,FALL,73628.0772828108
AT34,VSET,18385.4414078562
AT34,DCOL,485.689815879426
AT34,DCOH,725.267036413002
AT34,BULL,646.894748363658
AT34,BULH,999.916865749655
AT34,HEIL,410.497738585052
AT34,HEIH,636.333922033434
AT34,SCOW,174.755490502507
AT34,HEIR,175.527168334135
AT34,CAMF,225.911591510808
AT34,CAFF,340.270440667041
AT34,CAMR,87.2401270441082
AT34,CAFR,75.5375814917599
AT34,PIGF,17.8650499324875
AT34,SOWS,1866.60661720141
AT34,SHGM,32.0554794607592
AT34,SHGF,13.4416890327924
AT34,OANI,6384301.9754057
LU00,SWHE,33.3692886823379
LU00,RYEM,718.071662950909
LU00,BARL,48.2941522121304
LU00,OATS,160.405978919864
LU00,CORN,8874.53763504907
LU00,OCER,264.283364294321
LU00,RAPE,139.87810067954
LU00,OOIL,33314.6705153879
LU00,OIND,48447.6150308368
