model_region,FCER,FCOM,FEED,FGRA,FMAI,FMIL,FOFA,FOTH,FPRO,FROO,FSGM,FSTR
DEF0,56738.02796256681,2132.8833937386876,20681.894766829377,185266.5261041228,86917.32810117002,3977.508223232711,26066.68106298621,2311.6608782074754,20223.79926623264,819.61775317489,27.166140752455316,3049.9776649857113
DEG0,50580.363381043,1522.2680229804132,20718.543415759188,184933.5057568547,85647.5039979763,4047.44442943751,35185.139969261334,2123.910624942999,17149.511715866724,687.0305376491083,27.372434952747557,2648.1444073947496
EE00,45699.66356396783,2462.284390237624,18466.503193956403,182228.296668304,17780.42654991855,5477.799365711439,99954.12712721778,3123.279697697357,19597.463061977076,351.1564739996477,160.38611488292497,3675.779956141411
EL30,49986.45921741742,250.5122261096603,24541.916896890216,262635.8603995741,2373.9539367299185,3821.135623558702,522.3932705113889,8925.089680558533,19514.604286419988,224.8025925474361,54.45974631038338,808.6111417455817
EL41,47856.140925782296,1685.0310158992165,23173.36506772525,222399.41294281418,31109.008240293577,3788.241557006151,3611.9862045704576,9292.339939566105,17196.832592223163,229.9094824302861,83.37480575796393,894.9719205077887
EL42,46360.76227727222,1701.2127381079638,23326.46487366926,126965.17372315693,119377.95870762445,3691.4198344087335,4320.026128829131,9392.845256284469,18349.652983609296,221.667862537355,79.16607740663294,777.0516204960076
EL43,47784.329806613234,95.71771224375625,23377.603059934874,224899.38822890617,27493.405781455825,3913.8058319831543,6577.05088250218,9669.32098036205,20344.206201272675,232.98408674501425,98.8121420218223,699.1426712321392
EL51,48235.03909991584,3387.7002032339124,25229.866312114696,223557.7341069481,14794.851084817377,3704.943179983188,23553.29218464607,9523.478876143288,23265.381255789256,226.34886091574614,70.04202344934305,906.1034818976033
EL52,45811.25937949207,1801.8998680650705,27638.481572485573,195926.29611780896,7601.378725505603,3699.5342325071024,33371.23955691601,9810.310478130312,34435.5417077874,226.8572408355245,64.14028859027191,919.854145852219
EL53,46557.890128511266,2080.288190427218,24990.784089541652,197760.93028978375,23441.633278977475,3745.5787260505804,43812.08759706013,9175.115969598171,19298.7889555291,234.3134242109705,72.83780833569355,888.9305389781019
